Sentence,Tokens,Lemmas,POS,Chapter,Labels
"Но, может быть, вы хотите знать окончание истории Бэлы?",но;может;быть;вы;хотите;знать;окончание;истории;бэлы,но;мочь;быть;вы;хотеть;знать;окончание;история;бэла,CONJ;V;V;SPRO;V;V;S;S;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0
"— Во-первых, я пишу не повесть, а путевые записки; следовательно, не могу заставить штабс-капитана рассказывать прежде, нежели он начал рассказывать в самом деле.",во-первых;я;пишу;не;повесть;а;путевые;записки;следовательно;не;могу;заставить;штабс-капитана;рассказывать;прежде;нежели;он;начал;рассказывать;в;самом;деле,во-первых;я;писать;не;повесть;а;путевой;записка;следовательно;не;мочь;заставлять;штабс-капитан;рассказывать;прежде;нежели;он;начинать;рассказывать;в;самый;дело,ADV;SPRO;V;PART;S;CONJ;A;S;ADV;PART;V;V;S;V;PR;CONJ;SPRO;V;V;PR;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Итак, погодите, или, если хотите, переверните несколько страниц, только я вам этого не советую, потому что переезд через Крестовую Гору (или, как называет ее ученый Гамба, le Mont St.-Christophe) достоин вашего любопытства.",итак;погодите;или;если;хотите;переверните;несколько;страниц;только;я;вам;этого;не;советую;потому;что;переезд;через;крестовую;гору;или;как;называет;ее;ученый;гамба;le;mont;st;christophe;достоин;вашего;любопытства,итак;погодить;или;если;хотеть;перевертывать;несколько;страница;только;я;вы;это;не;советовать;потому;что;переезд;через;крестовый;гора;или;как;называть;она;ученый;гамба;le;mont;st;christophe;достойный;ваш;любопытство,CONJ;V;CONJ;CONJ;V;V;NUM;S;PART;SPRO;SPRO;SPRO;PART;V;ADVPRO;CONJ;S;PR;A;S;CONJ;ADVPRO;V;SPRO;S;S;;;;;A;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Итак, мы спускались с Гуд-Горы в Чертову долину... Вот романтическое название!",итак;мы;спускались;с;гуд;горы;в;чертову;долину;... ;вот;романтическое;название,итак;мы;спускаться;с;гуд;гора;в;чертов;долина;... ;вот;романтический;название,CONJ;SPRO;V;PR;S;S;PR;A;S;;PART;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0
"Вы уже видите гнездо злого духа между неприступными утесами, — не тут-то было: название Чертовой долины происходит от слов «черта», а не «черт», ибо здесь когда-то была граница Грузии.","вы;уже;видите;гнездо;злого;духа;между;неприступными;утесами;, — ;не;тут-то;было;название;чертовой;долины;происходит;от;слов;черта;», ;а;не;черт;», ;ибо;здесь;когда-то;была;граница;грузии","вы;уже;видеть;гнездо;злой;дух;между;неприступный;утес;, — ;не;тут-то;быть;название;чертовый;долина;происходить;от;слово;черт;», ;а;не;черт;», ;ибо;здесь;когда-то;быть;граница;грузия",SPRO;ADV;V;S;A;S;PR;A;S;;PART;ADVPRO;V;S;A;S;V;PR;S;S;;CONJ;PART;S;;CONJ;ADVPRO;ADVPRO;V;S;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Эта долина была завалена снеговыми сугробами, напоминавшими довольно живо Саратов, Тамбов и прочие милые места нашего отечества.",эта;долина;была;завалена;снеговыми;сугробами;напоминавшими;довольно;живо;саратов;тамбов;и;прочие;милые;места;нашего;отечества,этот;долина;быть;заваливать;снеговой;сугроб;напоминать;довольно;живо;саратов;тамбов;и;прочий;милый;место;наш;отечество,APRO;S;V;V;A;S;V;ADV;ADV;S;S;CONJ;A;A;S;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
— Вот и Крестовая!,вот;и;крестовая,вот;и;крестовый,PART;CONJ;A,Герой нашего времени. Часть 1. Бэла.,0;0;0
"— сказал мне штабс-капитан, когда мы съехали в Чертову долину, указывая на холм, покрытый пеленою снега; на его вершине чернелся каменный крест, и мимо его вела едва-едва заметная дорога, по которой проезжают только тогда, когда боковая завалена снегом: наши извозчики объявили, что обвалов еще не было, и, сберегая лошадей, повезли нас кругом.",сказал;мне;штабс-капитан;когда;мы;съехали;в;чертову;долину;указывая;на;холм;покрытый;пеленою;снега;на;его;вершине;чернелся;каменный;крест;и;мимо;его;вела;едва-едва;заметная;дорога;по;которой;проезжают;только;тогда;когда;боковая;завалена;снегом;наши;извозчики;объявили;что;обвалов;еще;не;было;и;сберегая;лошадей;повезли;нас;кругом,сказать;я;штабс-капитан;когда;мы;съезжать;в;чертов;долина;указывать;на;холм;покрывать;пелена;снег;на;его;вершина;чернеться;каменный;крест;и;мимо;его;вести;едва-едва;заметный;дорога;по;который;проезжать;только;тогда;когда;боковой;заваливать;снег;наш;извозчик;объявлять;что;обвал;еще;не;быть;и;сберегать;лошадь;повезти;мы;кругом,V;SPRO;S;CONJ;SPRO;V;PR;A;S;V;PR;S;V;S;S;PR;APRO;S;V;A;S;CONJ;PR;APRO;V;ADV;A;S;PR;APRO;V;PART;ADVPRO;CONJ;A;V;S;APRO;S;V;CONJ;S;ADV;PART;V;CONJ;V;S;V;SPRO;ADV,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"При повороте встретили мы человек пять осетин; они предложили нам свои услуги, и уцепясь за колеса, с криком принялись тащить и поддерживать наши тележки.",при;повороте;встретили;мы;человек;пять;осетин;они;предложили;нам;свои;услуги;и;уцепясь;за;колеса;с;криком;принялись;тащить;и;поддерживать;наши;тележки,при;поворот;встречать;мы;человек;пять;осетин;они;предлагать;мы;свой;услуга;и;уцепиться;за;колесо;с;крик;приниматься;тащить;и;поддерживать;наш;тележка,PR;S;V;SPRO;S;NUM;S;SPRO;V;SPRO;APRO;S;CONJ;V;PR;S;PR;S;V;V;CONJ;V;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"И точно, дорога опасная: направо висели над нашими головами груды снега, готовые, кажется, при первом порыве ветра оборваться в ущелье; узкая дорога частию была покрыта снегом, который в иных местах проваливался под ногами, в других превращался в лед от действия солнечных лучей и ночных морозов, так что с трудом мы сами пробирались; лошади падали; — налево зияла глубокая расселина, где катился поток, то скрываясь под ледяной корою, то с пеною прыгая по черным камням.",и;точно;дорога;опасная;направо;висели;над;нашими;головами;груды;снега;готовые;кажется;при;первом;порыве;ветра;оборваться;в;ущелье;узкая;дорога;частию;была;покрыта;снегом;который;в;иных;местах;проваливался;под;ногами;в;других;превращался;в;лед;от;действия;солнечных;лучей;и;ночных;морозов;так;что;с;трудом;мы;сами;пробирались;лошади;падали;; — ;налево;зияла;глубокая;расселина;где;катился;поток;то;скрываясь;под;ледяной;корою;то;с;пеною;прыгая;по;черным;камням,и;точно;дорога;опасный;направо;висеть;над;наш;голова;груда;снег;готовый;кажется;при;первый;порыв;ветер;оборваться;в;ущелие;узкий;дорога;часть;быть;покрывать;снег;который;в;иной;место;проваливаться;под;нога;в;другой;превращаться;в;лед;от;действие;солнечный;луч;и;ночной;мороз;так;что;с;труд;мы;сам;пробираться;лошадь;падать;; — ;налево;зиять;глубокий;расселина;где;катиться;поток;то;скрываться;под;ледяной;кора;то;с;пена;прыгать;по;черный;камень,CONJ;ADV;S;A;ADV;V;PR;APRO;S;S;S;A;ADV;PR;ANUM;S;S;V;PR;S;A;S;S;V;V;S;APRO;PR;APRO;S;V;PR;S;PR;APRO;V;PR;S;PR;S;A;S;CONJ;A;S;ADVPRO;CONJ;PR;S;SPRO;APRO;V;S;V;;ADV;V;A;S;ADVPRO;V;S;CONJ;V;PR;A;S;CONJ;PR;S;V;PR;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— В два часа едва могли мы обогнуть Крестовую гору, — две версты в два часа!","в;два;часа;едва;могли;мы;обогнуть;крестовую;гору;, — ;две;версты;в;два;часа","в;два;час;едва;мочь;мы;огибать;крестовый;гора;, — ;два;верста;в;два;час",PR;NUM;S;ADV;V;SPRO;V;A;S;;NUM;S;PR;NUM;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Между тем тучи спустились, повалил град, снег; ветер врывался в ущелья, ревел, свистал, как Соловей-Разбойник, и скоро каменный крест скрылся в тумане, которого волны, одна другой гуще и теснее, набегали с востока... Кстати, об этом кресте существует странное, но всеобщее предание, будто его поставил император Петр 1-й, проезжая через Кавказ; но, во-первых, Петр был только в Дагестане, и, во-вторых, на кресте написано крупными буквами, что он поставлен по приказанию г. Ермолова, а именно в 1824 году.",между;тем;тучи;спустились;повалил;град;снег;ветер;врывался;в;ущелья;ревел;свистал;как;соловей;разбойник;и;скоро;каменный;крест;скрылся;в;тумане;которого;волны;одна;другой;гуще;и;теснее;набегали;с;востока;... ;кстати;об;этом;кресте;существует;странное;но;всеобщее;предание;будто;его;поставил;император;петр;1;й;проезжая;через;кавказ;но;во-первых;петр;был;только;в;дагестане;и;во-вторых;на;кресте;написано;крупными;буквами;что;он;поставлен;по;приказанию;г;ермолова;а;именно;в;1824;году,между;то;туча;спускаться;повалить;град;снег;ветер;врываться;в;ущелие;реветь;свистать;как;соловей;разбойник;и;скоро;каменный;крест;скрываться;в;туман;который;волна;один;другой;густой;и;тесный;набегать;с;восток;... ;кстати;об;этот;крест;существовать;странный;но;всеобщий;предание;будто;он;поставлять;император;петр;1;й;проезжать;через;кавказ;но;во-первых;петр;быть;только;в;дагестан;и;во-вторых;на;крест;написать;крупный;буква;что;он;поставлять;по;приказание;г;ермолова;а;именно;в;1824;год,PR;SPRO;S;V;V;S;S;S;V;PR;S;V;V;CONJ;S;S;CONJ;ADV;A;S;V;PR;S;APRO;S;APRO;APRO;A;CONJ;A;V;PR;S;;ADV;PR;APRO;S;V;A;CONJ;A;S;CONJ;SPRO;V;S;S;;S;V;PR;S;CONJ;ADV;S;V;PART;PR;S;CONJ;ADV;PR;S;V;A;S;CONJ;SPRO;V;PR;S;S;S;CONJ;PART;PR;;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Но предание, несмотря на надпись, так укоренилось, что, право, не знаешь чему верить, тем более, что мы не привыкли верить надписям.",но;предание;несмотря;на;надпись;так;укоренилось;что;право;не;знаешь;чему;верить;тем;более;что;мы;не;привыкли;верить;надписям,но;предание;несмотря;на;надпись;так;укореняться;что;право;не;знать;что;верить;то;более;что;мы;не;привыкать;верить;надпись,CONJ;S;ADV;PR;S;ADVPRO;V;CONJ;S;PART;V;SPRO;V;SPRO;ADV;CONJ;SPRO;PART;V;V;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Нам должно было спускаться еще верст пять по обледеневшим скалам и топкому снегу, чтоб достигнуть станции Коби.",нам;должно;было;спускаться;еще;верст;пять;по;обледеневшим;скалам;и;топкому;снегу;чтоб;достигнуть;станции;коби,мы;должно;быть;спускаться;еще;верста;пять;по;обледеневать;скала;и;топкий;снег;чтоб;достигать;станция;коби,SPRO;ADV;V;V;ADV;S;NUM;PR;V;S;CONJ;A;S;CONJ;V;S;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Лошади измучились, мы продрогли; метель гудела сильнее и сильнее, точно наша родимая, северная; только ее дикие напевы были печальнее, заунывнее.",лошади;измучились;мы;продрогли;метель;гудела;сильнее;и;сильнее;точно;наша;родимая;северная;только;ее;дикие;напевы;были;печальнее;заунывнее,лошадь;измучиваться;мы;продрогнуть;метель;гудеть;сильно;и;сильно;точно;наш;родить;северный;только;ее;дикий;напев;быть;печальный;заунывный,S;V;SPRO;V;S;V;ADV;CONJ;ADV;CONJ;APRO;V;A;PART;APRO;A;S;V;A;A,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"«И ты, изгнанница, — думал я, — плачешь о своих широких раздольных степях!","и;ты;изгнанница;, — ;думал;я;, — ;плачешь;о;своих;широких;раздольных;степях","и;ты;изгнанница;, — ;думать;я;, — ;плакать;о;свой;широкий;раздольный;степь",CONJ;SPRO;S;;V;SPRO;;V;PR;APRO;A;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0
"Там есть где развернуть холодные крылья, а здесь тебе душно и тесно, как орлу, который с криком бьется о решетку железной своей клетки».",там;есть;где;развернуть;холодные;крылья;а;здесь;тебе;душно;и;тесно;как;орлу;который;с;криком;бьется;о;решетку;железной;своей;клетки,там;быть;где;развертывать;холодный;крыло;а;здесь;ты;душно;и;тесно;как;орел;который;с;крик;биться;о;решетка;железный;свой;клетка,ADVPRO;V;ADVPRO;V;A;S;CONJ;ADVPRO;SPRO;ADV;CONJ;ADV;ADVPRO;S;APRO;PR;S;V;PR;S;A;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
— Плохо!,плохо,плохо,ADV,Герой нашего времени. Часть 1. Бэла.,0
"— говорил штабс-капитан: — посмотрите, кругом ничего не видно, только туман да снег — того и гляди, что свалимся в пропасть или засядем в трущобу, а там пониже, чай, Байдара так разыгралась, что и не переедешь.",говорил;штабс-капитан;: — ;посмотрите;кругом;ничего;не;видно;только;туман;да;снег;того;и;гляди;что;свалимся;в;пропасть;или;засядем;в;трущобу;а;там;пониже;чай;байдара;так;разыгралась;что;и;не;переедешь,говорить;штабс-капитан;: — ;посмотреть;кругом;ничто;не;видно;только;туман;да;снег;то;и;глядеть;что;сваливаться;в;пропасть;или;засаживаться;в;трущоба;а;там;низко;чай;байдара;так;разыгрываться;что;и;не;переезжать,V;S;;V;ADV;SPRO;PART;ADV;PART;S;CONJ;S;SPRO;CONJ;V;CONJ;V;PR;S;CONJ;V;PR;S;CONJ;ADVPRO;ADV;S;S;ADVPRO;V;CONJ;CONJ;PART;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Уж эта мне Азия!,уж;эта;мне;азия,уж;этот;я;азия,PART;APRO;SPRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0
"что люди, что речки — никак нельзя положиться.",что;люди;что;речки;никак;нельзя;положиться,что;человек;что;речка;никак;нельзя;полагаться,CONJ;S;CONJ;S;ADVPRO;ADV;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0
"— Извозчики с криком и бранью колотили лошадей, которые фыркали, упирались и не хотели ни за что в свете тронуться с места, несмотря на красноречие кнутов.",извозчики;с;криком;и;бранью;колотили;лошадей;которые;фыркали;упирались;и;не;хотели;ни;за;что;в;свете;тронуться;с;места;несмотря;на;красноречие;кнутов,извозчик;с;крик;и;брань;колотить;лошадь;который;фыркать;упираться;и;не;хотеть;ни;за;что;в;свет;тронуться;с;место;несмотря;на;красноречие;кнут,S;PR;S;CONJ;S;V;S;APRO;V;V;CONJ;PART;V;PART;PR;SPRO;PR;S;V;PR;S;ADV;PR;S;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"«Ваше благородие, — сказал наконец один: — ведь мы нынче до Коби не доедем; не прикажете ли, покамест можно, своротить налево?","ваше;благородие;, — ;сказал;наконец;один;: — ;ведь;мы;нынче;до;коби;не;доедем;не;прикажете;ли;покамест;можно;своротить;налево","ваш;благородие;, — ;сказать;наконец;один;: — ;ведь;мы;нынче;до;коби;не;доезжать;не;приказывать;ли;покамест;можно;сворачивать;налево",APRO;S;;V;ADV;APRO;;PART;SPRO;ADV;PR;S;PART;V;PART;V;PART;CONJ;ADV;V;ADV,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Вон там что-то на косогоре чернеется, — верно, сакли: там всегда-с проезжающие останавливаются в погоду; они говорят, что проведут, если дадите на водку», — прибавил он, указывая на осетина.","вон;там;что-то;на;косогоре;чернеется;, — ;верно;сакли;там;всегда;с;проезжающие;останавливаются;в;погоду;они;говорят;что;проведут;если;дадите;на;водку;», — ;прибавил;он;указывая;на;осетина","вон;там;что-то;на;косогор;чернеться;, — ;верно;сакля;там;всегда;с;проезжать;останавливаться;в;погода;они;говорить;что;проводить;если;давать;на;водка;», — ;прибавлять;он;указывать;на;осетин",PART;ADVPRO;SPRO;PR;S;V;;ADV;S;ADVPRO;ADVPRO;PR;V;V;PR;S;SPRO;V;CONJ;V;CONJ;V;PR;S;;V;SPRO;V;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Знаю, братец, знаю без тебя!",знаю;братец;знаю;без;тебя,знать;братец;знать;без;ты,V;S;V;PR;SPRO,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0
— сказал штабс-капитан; — уж эти бестии!,сказал;штабс-капитан;; — ;уж;эти;бестии,сказать;штабс-капитан;; — ;уж;этот;бестия,V;S;;PART;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0
"рады придраться, чтоб сорвать на водку.",рады;придраться;чтоб;сорвать;на;водку,рад;придираться;чтоб;сорвать;на;водка,A;V;CONJ;V;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0
"— Признайтесь, однако, — сказал я, — что без них нам было бы хуже.","признайтесь;однако;, — ;сказал;я;, — ;что;без;них;нам;было;бы;хуже","признаваться;однако;, — ;сказать;я;, — ;что;без;они;мы;быть;бы;плохо",V;CONJ;;V;SPRO;;CONJ;PR;SPRO;SPRO;V;PART;ADV,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0
"— Всё так, всё так, — пробормотал он: — уж эти мне проводники!","всё;так;всё;так;, — ;пробормотал;он;: — ;уж;эти;мне;проводники","все;так;все;так;, — ;пробормотать;он;: — ;уж;этот;я;проводник",SPRO;ADVPRO;ADV;ADVPRO;;V;SPRO;;PART;APRO;SPRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0
"чутьем слышат, где можно попользоваться, будто без них и нельзя найти дороги.",чутьем;слышат;где;можно;попользоваться;будто;без;них;и;нельзя;найти;дороги,чутье;слышать;где;можно;попользоваться;будто;без;они;и;нельзя;находить;дорога,S;V;ADVPRO;ADV;V;CONJ;PR;SPRO;CONJ;ADV;V;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0
"Вот мы свернули налево, и кое-как, после многих хлопот, добрались до скудного приюта, состоявшего из двух саклей, сложенных из плит и булыжника и обведенных такою же стеною; оборванные хозяева приняли нас радушно.",вот;мы;свернули;налево;и;кое-как;после;многих;хлопот;добрались;до;скудного;приюта;состоявшего;из;двух;саклей;сложенных;из;плит;и;булыжника;и;обведенных;такою;же;стеною;оборванные;хозяева;приняли;нас;радушно,вот;мы;свертывать;налево;и;кое-как;после;многий;хлопоты;добираться;до;скудный;приют;состоять;из;два;сакля;слагать;из;плита;и;булыжник;и;обвести;такой;же;стена;оборванный;хозяин;принимать;мы;радушно,PART;SPRO;V;ADV;CONJ;ADVPRO;PR;APRO;S;V;PR;A;S;V;PR;NUM;S;V;PR;S;CONJ;S;CONJ;V;APRO;PART;S;A;S;V;SPRO;ADV,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Я после узнал, что правительство им платит и кормит их с условием, чтоб они принимали путешественников, застигнутых бурею.",я;после;узнал;что;правительство;им;платит;и;кормит;их;с;условием;чтоб;они;принимали;путешественников;застигнутых;бурею,я;после;узнавать;что;правительство;они;платить;и;кормить;они;с;условие;чтоб;они;принимать;путешественник;застигать;буря,SPRO;PR;V;CONJ;S;SPRO;V;CONJ;V;SPRO;PR;S;CONJ;SPRO;V;S;V;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
«Всё к лучшему!,всё;к;лучшему,все;к;хороший,ADV;PR;A,Герой нашего времени. Часть 1. Бэла.,0;0;0
"— сказал я, присев у огня: — теперь вы мне доскажете вашу историю про Бэлу; я уверен, что этим не кончилось».",сказал;я;присев;у;огня;: — ;теперь;вы;мне;доскажете;вашу;историю;про;бэлу;я;уверен;что;этим;не;кончилось,сказать;я;приседать;у;огонь;: — ;теперь;вы;я;досказывать;ваш;история;про;бэла;я;уверенный;что;это;не;кончаться,V;SPRO;V;PR;S;;ADV;SPRO;SPRO;V;APRO;S;PR;S;SPRO;A;CONJ;SPRO;PART;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
— А почему ж вы так уверены?,а;почему;ж;вы;так;уверены,а;почему;ж;вы;так;уверенный,CONJ;ADVPRO;PART;SPRO;ADVPRO;A,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0
"— отвечал мне штабс-капитан, примигивая с хитрой улыбкою.",отвечал;мне;штабс-капитан;примигивая;с;хитрой;улыбкою,отвечать;я;штабс-капитан;примигивать;с;хитрый;улыбка,V;SPRO;S;V;PR;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0
"— Оттого, что это не в порядке вещей: что началось необыкновенным образом, то должно так же и кончиться.",оттого;что;это;не;в;порядке;вещей;что;началось;необыкновенным;образом;то;должно;так;же;и;кончиться,оттого;что;это;не;в;порядок;вещь;что;начинаться;необыкновенный;образ;то;должно;так;же;и;кончаться,ADVPRO;CONJ;SPRO;PART;PR;S;S;CONJ;V;A;S;CONJ;ADV;ADVPRO;PART;CONJ;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
— Ведь вы угадали... — Очень рад.,ведь;вы;угадали;... ;очень;рад,ведь;вы;угадывать;... ;очень;рад,PART;SPRO;V;;ADV;A,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0
"— Хорошо вам радоваться, а мне так право грустно, как вспомню.",хорошо;вам;радоваться;а;мне;так;право;грустно;как;вспомню,хорошо;вы;радоваться;а;я;так;право;грустно;как;вспомнить,ADV;SPRO;V;CONJ;SPRO;ADVPRO;ADV;ADV;CONJ;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;1;0;0;0
Славная была девочка эта Бэла!,славная;была;девочка;эта;бэла,славный;быть;девочка;этот;бэла,A;V;S;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0
"Я к ней наконец так привык, как к дочери, и она меня любила.",я;к;ней;наконец;так;привык;как;к;дочери;и;она;меня;любила,я;к;она;наконец;так;привыкать;как;к;дочь;и;она;я;любить,SPRO;PR;SPRO;ADV;ADVPRO;V;CONJ;PR;S;CONJ;SPRO;SPRO;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0
"Надо вам сказать, что у меня нет семейства; об отце и матери я лет двенадцать уж не имею известия, а запастись женой не догадался раньше, — так теперь уж, знаете, и не к лицу; я и рад был, что нашел кого баловать.","надо;вам;сказать;что;у;меня;нет;семейства;об;отце;и;матери;я;лет;двенадцать;уж;не;имею;известия;а;запастись;женой;не;догадался;раньше;, — ;так;теперь;уж;знаете;и;не;к;лицу;я;и;рад;был;что;нашел;кого;баловать","надо;вы;сказать;что;у;я;нет;семейство;об;отец;и;мать;я;год;двенадцать;уж;не;иметь;известие;а;запасаться;жена;не;догадываться;рано;, — ;так;теперь;уж;знать;и;не;к;лицо;я;и;рад;быть;что;находить;кто;баловать",ADV;SPRO;V;CONJ;PR;SPRO;ADV;S;PR;S;CONJ;S;SPRO;S;NUM;PART;PART;V;S;CONJ;V;S;PART;V;ADV;;ADVPRO;ADV;PART;V;CONJ;PART;PR;S;SPRO;CONJ;A;V;CONJ;V;SPRO;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Она, бывало, нам поет песни иль пляшет лезгинку... А уж как плясала!",она;бывало;нам;поет;песни;иль;пляшет;лезгинку;... ;а;уж;как;плясала,она;бывало;мы;петь;песня;иль;плясать;лезгинка;... ;а;уж;как;плясать,SPRO;ADV;SPRO;V;S;CONJ;V;S;;CONJ;PART;ADVPRO;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0
"Видал я наших губернских барышень, а раз был-с и в Москве в благородном собрании, лет двадцать тому назад, — только куда им!","видал;я;наших;губернских;барышень;а;раз;был;с;и;в;москве;в;благородном;собрании;лет;двадцать;тому;назад;, — ;только;куда;им","видать;я;наш;губернский;барышня;а;раз;быть;с;и;в;москва;в;благородный;собрание;год;двадцать;то;назад;, — ;только;куда;они",V;SPRO;APRO;A;S;CONJ;S;V;PR;CONJ;PR;S;PR;A;S;S;NUM;SPRO;ADV;;PART;ADVPRO;SPRO,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
совсем не то!..,совсем;не;то;!..,совсем;не;то;!..,ADV;PART;PART;,Герой нашего времени. Часть 1. Бэла.,0;0;0;0
"Григорий Александрович наряжал ее как куколку, холил и лелеял, и она у нас так похорошела, что чудо; с лица и с рук сошел загар, румянец разыгрался на щеках... Уж какая, бывало, веселая, и все надо мной, проказница, подшучивала... Бог ей прости!..",григорий;александрович;наряжал;ее;как;куколку;холил;и;лелеял;и;она;у;нас;так;похорошела;что;чудо;с;лица;и;с;рук;сошел;загар;румянец;разыгрался;на;щеках;... ;уж;какая;бывало;веселая;и;все;надо;мной;проказница;подшучивала;... ;бог;ей;прости;!..,григорий;александрович;наряжать;она;как;куколка;холить;и;лелеять;и;она;у;мы;так;похорошеть;что;чудо;с;лицо;и;с;рука;сходить;загар;румянец;разыгрываться;на;щека;... ;уж;какой;бывало;веселый;и;все;надо;я;проказница;подшучивать;... ;бог;она;прощать;!..,S;S;V;SPRO;CONJ;S;V;CONJ;V;CONJ;SPRO;PR;SPRO;ADVPRO;V;CONJ;S;PR;S;CONJ;PR;S;V;S;S;V;PR;S;;PART;APRO;ADV;A;CONJ;SPRO;ADV;SPRO;S;V;;S;SPRO;V;,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
