Sentence,Tokens,Lemmas,POS,Chapter
"Все эти замечания пришли мне на ум, может быть, только потому, что я знал некоторые подробности его жизни, и, может быть, на другого вид его произвел бы совершенно различное впечатление; но так как вы об нем не услышите ни от кого, кроме меня, то поневоле должны довольствоваться этим изображением.",Все;эти;замечания;пришли;мне;на;ум;может;быть;только;потому;что;я;знал;некоторые;подробности;его;жизни;и;может;быть;на;другого;вид;его;произвел;бы;совершенно;различное;впечатление;но;так;как;вы;об;нем;не;услышите;ни;от;кого;кроме;меня;то;поневоле;должны;довольствоваться;этим;изображением,весь;этот;замечание;прийти;я;на;ум;мочь;быть;только;потому;что;я;знать;некоторый;подробность;его;жизнь;и;мочь;быть;на;другой;вид;он;произвести;бы;совершенно;различный;впечатление;но;так;как;вы;о;он;не;услышать;ни;от;кто;кроме;я;то;поневоле;должен;довольствоваться;этот;изображение,DET;DET;NOUN;VERB;PRON;ADP;NOUN;VERB;VERB;PART;ADV;SCONJ;PRON;VERB;DET;NOUN;DET;NOUN;CCONJ;VERB;VERB;ADP;ADJ;NOUN;PRON;VERB;AUX;ADV;ADJ;NOUN;CCONJ;ADV;SCONJ;PRON;ADP;PRON;PART;VERB;PART;ADP;PRON;ADP;PRON;SCONJ;ADV;ADJ;VERB;DET;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Скажу в заключение, что он был вообще очень недурен и имел одну из тех оригинальных физиогномий, которые особенно нравятся женщинам светским.",Скажу;в;заключение;что;он;был;вообще;очень;недурен;и;имел;одну;из;тех;оригинальных;физиогномий;которые;особенно;нравятся;женщинам;светским,сказать;в;заключение;что;он;быть;вообще;очень;недурен;и;иметь;один;из;тот;оригинальный;физиогномия;который;особенно;нравиться;женщина;светский,VERB;ADP;NOUN;SCONJ;PRON;AUX;ADV;ADV;ADJ;CCONJ;VERB;NUM;ADP;DET;ADJ;NOUN;PRON;ADV;VERB;NOUN;ADJ,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Лошади были уже заложены; колокольчик по временам звенел под дугою, и лакей уже два раза подходил к Печорину с докладом, что всё готово, а Максим Максимыч еще не являлся.",Лошади;были;уже;заложены;колокольчик;по;временам;звенел;под;дугою;и;лакей;уже;два;раза;подходил;к;Печорину;с;докладом;что;всё;готово;а;Максим;Максимыч;еще;не;являлся,лошадь;быть;уже;заложить;колокольчик;по;время;звенеть;под;дугой;и;лакей;уже;два;раз;подходить;к;Печорин;с;доклад;что;все;готовый;а;Максим;Максимыч;еще;не;являться,NOUN;AUX;ADV;VERB;NOUN;ADP;NOUN;VERB;ADP;NOUN;CCONJ;NOUN;ADV;NUM;NOUN;VERB;ADP;PROPN;ADP;NOUN;SCONJ;PRON;ADJ;CCONJ;PROPN;PROPN;ADV;PART;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"К счастию, Печорин был погружен в задумчивость, глядя на синие зубцы Кавказа, и, кажется, вовсе не торопился в дорогу.",К;счастию;Печорин;был;погружен;в;задумчивость;глядя;на;синие;зубцы;Кавказа;и;кажется;вовсе;не;торопился;в;дорогу,к;счастие;Печорин;быть;погрузить;в;задумчивость;глядеть;на;синий;зубец;Кавказ;и;казаться;вовсе;не;торопиться;в;дорога,ADP;NOUN;PROPN;AUX;VERB;ADP;NOUN;VERB;ADP;ADJ;NOUN;PROPN;CCONJ;VERB;ADV;PART;VERB;ADP;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
Я подошел к нему.,Я;подошел;к;нему,я;подойти;к;он,PRON;VERB;ADP;PRON,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"«Если вы захотите еще немного подождать, — сказал я, — то будете иметь удовольствие увидаться с старым приятелем...» — Ах, точно!",Если;вы;захотите;еще;немного;подождать;сказал;я;то;будете;иметь;удовольствие;увидаться;с;старым;приятелем;Ах;точно,если;вы;захотеть;еще;немного;подождать;сказать;я;то;быть;иметь;удовольствие;увидаться;с;старый;приятель;ах;точно,SCONJ;PRON;VERB;ADV;ADV;VERB;VERB;PRON;SCONJ;AUX;VERB;NOUN;VERB;ADP;ADJ;NOUN;INTJ;ADV,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— быстро отвечал он: — мне вчера говорили; но где же он?,быстро;отвечал;он;мне;вчера;говорили;но;где;же;он,быстро;отвечать;он;я;вчера;говорить;но;где;же;он,ADV;VERB;PRON;PRON;ADV;VERB;CCONJ;ADV;PART;PRON,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— Я обернулся к площади и увидал Максима Максимыча, бегущего что было мочи... Через несколько минут он был уже возле нас; он едва мог дышать, пот градом катился с лица его, мокрые клочки седых волос, вырвавшись из-под шапки, приклеились ко лбу его; колена его дрожали... он хотел кинуться на шею Печорину, но тот довольно холодно, хотя с приветливой улыбкой, протянул ему руку.",Я;обернулся;к;площади;и;увидал;Максима;Максимыча;бегущего;что;было;мочи;Через;несколько;минут;он;был;уже;возле;нас;он;едва;мог;дышать;пот;градом;катился;с;лица;его;мокрые;клочки;седых;волос;вырвавшись;из-под;шапки;приклеились;ко;лбу;его;колена;его;дрожали;он;хотел;кинуться;на;шею;Печорину;но;тот;довольно;холодно;хотя;с;приветливой;улыбкой;протянул;ему;руку,я;обернуться;к;площадь;и;увидать;Максим;Максимыча;бежать;что;быть;моча;через;несколько;минута;он;быть;уже;возле;мы;он;едва;мочь;дышать;пот;град;катиться;с;лицо;он;мокрый;клочок;седой;волос;вырыться;из-под;шапка;приклеиться;к;лоб;он;колено;его;дрожать;он;хотеть;кинуться;на;шея;Печорин;но;тот;довольно;холодный;хотя;с;приветливый;улыбка;протянуть;он;рука,PRON;VERB;ADP;NOUN;CCONJ;VERB;PROPN;PROPN;VERB;PRON;VERB;NOUN;ADP;NUM;NOUN;PRON;AUX;ADV;ADP;PRON;PRON;ADV;VERB;VERB;NOUN;NOUN;VERB;ADP;NOUN;PRON;ADJ;NOUN;ADJ;NOUN;VERB;ADP;NOUN;VERB;ADP;NOUN;PRON;NOUN;DET;VERB;PRON;VERB;VERB;ADP;NOUN;PROPN;CCONJ;DET;ADV;ADJ;SCONJ;ADP;ADJ;NOUN;VERB;PRON;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Штабс-капитан на минуту остолбенел, но потом жадно схватил его руку обеими руками: он еще не мог говорить.",Штабс;капитан;на;минуту;остолбенел;но;потом;жадно;схватил;его;руку;обеими;руками;он;еще;не;мог;говорить,штабс;капитан;на;минута;остолбенеть;но;потом;жадно;схватить;его;рука;оба;рука;он;еще;не;мочь;говорить,NOUN;NOUN;ADP;NOUN;VERB;CCONJ;ADV;ADV;VERB;DET;NOUN;NUM;NOUN;PRON;ADV;PART;VERB;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— Как я рад, дорогой Максим Максимыч!",Как;я;рад;дорогой;Максим;Максимыч,как;я;рад;дорогой;Максим;Максимыч,ADV;PRON;ADJ;ADJ;PROPN;PROPN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Ну, как вы поживаете?",Ну;как;вы;поживаете,ну;как;вы;поживать,PART;ADV;PRON;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— сказал Печорин.,сказал;Печорин,сказать;Печорин,VERB;PROPN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— А...,А.,А.,PROPN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
ты?..,ты,ты,PRON,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
а вы?..,а;вы,а;вы,CCONJ;PRON,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— пробормотал со слезами на глазах старик... — сколько лет... сколько дней... да куда это?..,пробормотал;со;слезами;на;глазах;старик;сколько;лет;сколько;дней;да;куда;это,пробормотать;с;слеза;на;глаз;старик;сколько;год;сколько;день;да;куда;это,VERB;ADP;NOUN;ADP;NOUN;NOUN;NUM;NOUN;NUM;NOUN;CCONJ;ADV;PRON,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— Еду в Персию — и дальше... — Неужто сейчас?..,Еду;в;Персию;и;дальше;Неужто;сейчас,еда;в;Персия;и;далеко;неужто;сейчас,NOUN;ADP;PROPN;CCONJ;ADV;ADV;ADV,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Да подождите, дражайший!..",Да;подождите;дражайший,да;подождать;дражать,CCONJ;VERB;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
Неужто сейчас расстанемся?..,Неужто;сейчас;расстанемся,неужто;сейчас;расстаться,ADV;ADV;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Столько времени не видались... — Мне пора, Максим Максимыч, — был ответ.",Столько;времени;не;видались;Мне;пора;Максим;Максимыч;был;ответ,столько;время;не;видать;я;пора;Максим;Максимыч;быть;ответ,NUM;NOUN;PART;VERB;PRON;NOUN;PROPN;PROPN;VERB;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— Боже мой, боже мой!",Боже;мой;боже;мой,бог;мой;бог;мой,VERB;DET;VERB;DET,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
да куда это так спешите?..,да;куда;это;так;спешите,да;куда;это;так;спешить,CCONJ;ADV;PRON;ADV;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
Мне столько бы хотелось вам сказать... столько расспросить... Ну что?,Мне;столько;бы;хотелось;вам;сказать;столько;расспросить;Ну;что,я;столько;бы;хотеться;вы;сказать;столько;расспросить;ну;что,PRON;ADV;AUX;VERB;PRON;VERB;ADV;VERB;PART;PRON,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
в отставке?..,в;отставке,в;отставка,ADP;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
как?..,как,как,ADV,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
что поделывали?..,что;поделывали,что;поделывать,PRON;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— Скучал!,Скучал,скучать,VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— отвечал Печорин, улыбаясь.",отвечал;Печорин;улыбаясь,отвечать;Печорин;улыбаться,VERB;PROPN;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— А помните наше житье-бытье в крепости?..,А;помните;наше;житье;бытье;в;крепости,а;помнить;наш;житье;бытье;в;крепость,CCONJ;VERB;DET;NOUN;NOUN;ADP;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
Славная страна для охоты!..,Славная;страна;для;охоты,славный;страна;для;охота,ADJ;NOUN;ADP;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
Ведь вы были страстный охотник стрелять... А Бэла?..,Ведь;вы;были;страстный;охотник;стрелять;А;Бэла,ведь;вы;быть;страстный;охотник;стрелять;а;Бэла,PART;PRON;AUX;ADJ;NOUN;VERB;CCONJ;PROPN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Печорин чуть-чуть побледнел и отвернулся... — Да, помню!",Печорин;чуть-чуть;побледнел;и;отвернулся;Да;помню,Печорин;чуть-чуть;побледнеть;и;отвернуться;да;помнить,PROPN;PART;VERB;CCONJ;VERB;PART;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— сказал он, почти тотчас принужденно зевнув... Максим Максимыч стал его упрашивать остаться с ним еще часа два.",сказал;он;почти;тотчас;принужденно;зевнув;Максим;Максимыч;стал;его;упрашивать;остаться;с;ним;еще;часа;два,сказать;он;почти;тотчас;принужденно;зевнуть;Максим;Максимыч;стать;он;упрашивать;остаться;с;он;еще;час;два,VERB;PRON;ADV;ADV;ADV;VERB;PROPN;PROPN;VERB;PRON;VERB;VERB;ADP;PRON;ADV;NOUN;NUM,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"«Мы славно пообедаем, — говорил он: — у меня есть два фазана; а кахетинское здесь прекрасное... разумеется, не то, что в Грузии, однако лучшего сорта... Мы поговорим... вы мне расскажете про свое житье в Петербурге...",Мы;славно;пообедаем;говорил;он;у;меня;есть;два;фазана;а;кахетинское;здесь;прекрасное;разумеется;не;то;что;в;Грузии;однако;лучшего;сорта;Мы;поговорим;вы;мне;расскажете;про;свое;житье;в;Петербурге,мы;славно;пообедать;говорить;он;у;я;быть;два;фазан;а;кахетинский;здесь;прекрасный;разумеется;не;то;что;в;Грузия;однако;лучший;сорт;мы;говорить;вы;я;рассказать;про;свой;житье;в;Петербург,PRON;ADV;VERB;VERB;PRON;ADP;PRON;VERB;NUM;NOUN;CCONJ;ADJ;ADV;ADJ;ADV;PART;PRON;PRON;ADP;PROPN;ADV;ADJ;NOUN;PRON;VERB;PRON;PRON;VERB;ADP;DET;NOUN;ADP;PROPN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"А?..» — Право, мне нечего рассказывать, дорогой Максим Максимыч... Однако прощайте, мне пора... я спешу... Благодарю, что не забыли... — прибавил он, взяв его за руку.",А;Право;мне;нечего;рассказывать;дорогой;Максим;Максимыч;Однако;прощайте;мне;пора;я;спешу;Благодарю;что;не;забыли;прибавил;он;взяв;его;за;руку,а;право;я;нечего;рассказывать;дорогой;Максим;Максимыч;однако;прощать;я;пора;я;спешить;благодать;что;не;забыть;прибавить;он;брать;он;за;рука,INTJ;NOUN;PRON;PRON;VERB;ADJ;PROPN;PROPN;ADV;VERB;PRON;NOUN;PRON;VERB;VERB;SCONJ;PART;VERB;VERB;PRON;VERB;PRON;ADP;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Старик нахмурил брови... Он был печален и сердит, хотя старался скрыть это.",Старик;нахмурил;брови;Он;был;печален;и;сердит;хотя;старался;скрыть;это,старик;нахмурить;бровь;он;быть;печальный;и;сердить;хотя;стараться;скрыть;это,NOUN;VERB;NOUN;PRON;AUX;ADJ;CCONJ;VERB;SCONJ;VERB;VERB;PRON,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
«Забыть!,Забыть,забыть,VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— проворчал он; — я-то не забыл ничего... Ну, да бог с вами!..",проворчал;он;я-то;не;забыл;ничего;Ну;да;бог;с;вами,проворчать;он;я-то;не;забыть;ничто;ну;да;бог;с;вы,VERB;PRON;PRON;PART;VERB;PRON;PART;CCONJ;NOUN;ADP;PRON,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Не так я думал с вами встретиться...» — Ну полно, полно!",Не;так;я;думал;с;вами;встретиться;Ну;полно;полно,не;так;я;думать;с;вы;встретиться;ну;полный;полный,PART;ADV;PRON;VERB;ADP;PRON;VERB;PART;ADJ;ADJ,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— сказал Печорин, обняв его дружески: — неужели я не тот же?..",сказал;Печорин;обняв;его;дружески;неужели;я;не;тот;же,сказать;Печорин;обнять;он;дружески;неужели;я;не;тот;же,VERB;PROPN;VERB;PRON;ADV;PART;PRON;PART;DET;PART,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
Что делать?..,Что;делать,что;делать,PRON;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
всякому своя дорога... Удастся ли еще встретиться — бог знает!..,всякому;своя;дорога;Удастся;ли;еще;встретиться;бог;знает,всякий;свой;дорога;удаться;ли;еще;встретиться;бог;знать,DET;DET;NOUN;VERB;PART;ADV;VERB;NOUN;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— Говоря это, он уже сидел в коляске, и ямщик уже начал подбирать возжи.",Говоря;это;он;уже;сидел;в;коляске;и;ямщик;уже;начал;подбирать;возжи,говорить;это;он;уже;сидеть;в;коляска;и;ямщик;уже;начать;подбирать;возжь,VERB;PRON;PRON;ADV;VERB;ADP;NOUN;CCONJ;NOUN;ADV;VERB;VERB;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— Постой, постой!",Постой;постой,постоять;постой,INTJ;INTJ,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— закричал вдруг Максим Максимыч, ухватясь за дверцы коляски: — совсем было забыл... У меня остались ваши бумаги, Григорий Александрыч... я их таскаю с собой... думал найти вас в Грузии, а вот где бог дал свидеться... Что мне с ними делать?..",закричал;вдруг;Максим;Максимыч;ухватясь;за;дверцы;коляски;совсем;было;забыл;У;меня;остались;ваши;бумаги;Григорий;Александрыч;я;их;таскаю;с;собой;думал;найти;вас;в;Грузии;а;вот;где;бог;дал;свидеться;Что;мне;с;ними;делать,закричать;вдруг;Максим;Максимыч;ухватиться;за;дверца;коляска;совсем;было;забыть;у;я;остаться;ваш;бумага;Григорий;Александрыч;я;они;таскать;с;себя;думать;найти;вы;в;Грузия;а;вот;где;бог;дать;свидеться;что;я;с;они;делать,VERB;ADV;PROPN;PROPN;VERB;ADP;NOUN;NOUN;ADV;PART;VERB;ADP;PRON;VERB;DET;NOUN;PROPN;PROPN;PRON;PRON;VERB;ADP;PRON;VERB;VERB;PRON;ADP;PROPN;CCONJ;PART;ADV;NOUN;VERB;VERB;PRON;PRON;ADP;PRON;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— Что хотите!,Что;хотите,что;хотеть,PRON;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— отвечал Печорин.,отвечал;Печорин,отвечать;Печорин,VERB;PROPN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— Прощайте... — Так вы в Персию?..,Прощайте;Так;вы;в;Персию,прощать;так;вы;в;Персия,VERB;ADV;PRON;ADP;PROPN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
а когда вернетесь?..,а;когда;вернетесь,а;когда;вернуться,CCONJ;SCONJ;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— кричал вслед Максим Максимыч... Коляска была уж далеко; но Печорин сделал знак рукой, который можно было перевести следующим образом: вряд ли!",кричал;вслед;Максим;Максимыч;Коляска;была;уж;далеко;но;Печорин;сделал;знак;рукой;который;можно;было;перевести;следующим;образом;вряд;ли,кричать;вслед;Максим;Максимыч;коляска;быть;уж;далеко;но;Печорин;делать;знак;рука;который;можно;быть;перевести;следующий;образ;вряд;ли,VERB;ADV;PROPN;PROPN;NOUN;AUX;PART;ADV;CCONJ;PROPN;VERB;NOUN;NOUN;PRON;ADV;AUX;VERB;ADJ;NOUN;ADV;PART,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
да и зачем?..,да;и;зачем,да;и;зачем,CCONJ;PART;ADV,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Давно уж не слышно было ни звона колокольчика, ни стука колес по кремнистой дороге, а бедный старик стоял на том же месте в глубокой задумчивости.",Давно;уж;не;слышно;было;ни;звона;колокольчика;ни;стука;колес;по;кремнистой;дороге;а;бедный;старик;стоял;на;том;же;месте;в;глубокой;задумчивости,давно;уж;не;слышный;быть;ни;звон;колокольчик;ни;стук;колесо;по;кремнистый;дорога;а;бедный;старик;стоять;на;тот;же;место;в;глубокий;задумчивость,ADV;PART;PART;ADJ;VERB;CCONJ;NOUN;NOUN;CCONJ;NOUN;NOUN;ADP;ADJ;NOUN;CCONJ;ADJ;NOUN;VERB;ADP;DET;PART;NOUN;ADP;ADJ;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— Да, — сказал он наконец, стараясь принять равнодушный вид, хотя слеза досады по временам сверкала на его ресницах; — конечно, мы были приятели, — ну, да что приятели в нынешнем веке!..",Да;сказал;он;наконец;стараясь;принять;равнодушный;вид;хотя;слеза;досады;по;временам;сверкала;на;его;ресницах;конечно;мы;были;приятели;ну;да;что;приятели;в;нынешнем;веке,да;сказать;он;наконец;стараться;принять;равнодушный;вид;хотя;слеза;досада;по;время;сверкать;на;его;ресница;конечно;мы;быть;приятель;ну;да;что;приятель;в;нынешний;век,PART;VERB;PRON;ADV;VERB;VERB;ADJ;NOUN;SCONJ;NOUN;NOUN;ADP;NOUN;VERB;ADP;DET;NOUN;ADV;PRON;AUX;NOUN;PART;CCONJ;SCONJ;NOUN;ADP;ADJ;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
Что ему во мне?,Что;ему;во;мне,что;он;в;я,PRON;PRON;ADP;PRON,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Я не богат, не чиновен, да и по летам совсем ему не пара... Вишь, каким он франтом сделался, как побывал опять в Петербурге... Что за коляска!..",Я;не;богат;не;чиновен;да;и;по;летам;совсем;ему;не;пара;Вишь;каким;он;франтом;сделался;как;побывал;опять;в;Петербурге;Что;за;коляска,я;не;богатый;не;чиновный;да;и;по;лето;совсем;он;не;пара;вишь;какой;он;франт;делаться;как;побывать;опять;в;Петербург;что;за;коляска,PRON;PART;ADJ;PART;ADJ;CCONJ;PART;ADP;NOUN;ADV;PRON;PART;NOUN;INTJ;DET;PRON;NOUN;VERB;SCONJ;VERB;ADV;ADP;PROPN;PRON;ADP;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
сколько поклажи!..,сколько;поклажи,сколько;покладить,NUM;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
и лакей такой гордый!..,и;лакей;такой;гордый,и;лакей;такой;гордый,CCONJ;NOUN;DET;ADJ,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
— Эти слова были произнесены с иронической улыбкой.,Эти;слова;были;произнесены;с;иронической;улыбкой,этот;слово;быть;произнести;с;иронический;улыбка,DET;NOUN;AUX;VERB;ADP;ADJ;NOUN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"— Скажите, — продолжал он, обратясь ко мне, — ну что вы об этом думаете?..",Скажите;продолжал;он;обратясь;ко;мне;ну;что;вы;об;этом;думаете,сказать;продолжать;он;обратиться;к;я;ну;что;вы;о;это;думать,VERB;VERB;PRON;VERB;ADP;PRON;PART;PRON;PRON;ADP;PRON;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
ну какой бес несет его теперь в Персию?..,ну;какой;бес;несет;его;теперь;в;Персию,ну;какой;бес;нести;он;теперь;в;Персия,PART;DET;NOUN;VERB;PRON;ADV;ADP;PROPN,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Смешно, ей-богу смешно!..",Смешно;ей-богу;смешно,смешной;ей-богу;смешной,ADJ;NOUN;ADJ,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Да я всегда знал, что он ветреный человек, на которого нельзя надеяться... А, право, жаль, что он дурно кончит... да и нельзя иначе!..",Да;я;всегда;знал;что;он;ветреный;человек;на;которого;нельзя;надеяться;А;право;жаль;что;он;дурно;кончит;да;и;нельзя;иначе,да;я;всегда;знать;что;он;ветреный;человек;на;который;нельзя;надеяться;а;право;жаль;что;он;дурно;кончить;да;и;нельзя;иначе,CCONJ;PRON;ADV;VERB;SCONJ;PRON;ADJ;NOUN;ADP;PRON;ADV;VERB;CCONJ;NOUN;ADV;SCONJ;PRON;ADV;VERB;CCONJ;PART;ADV;ADV,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
"Уж я всегда говорил, что нету проку в том, кто старых друзей забывает!..",Уж;я;всегда;говорил;что;нету;проку;в;том;кто;старых;друзей;забывает,уж;я;всегда;говорить;что;нет;прок;в;то;кто;старый;друг;забывать,PART;PRON;ADV;VERB;SCONJ;VERB;NOUN;ADP;PRON;PRON;ADJ;NOUN;VERB,Герой нашего времени. Часть 1. Максим Максимыч. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-03.html
